epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5031.7,1.38513,1.91915,1.55054,0.90766,0.90407,0.93519,0.50233,1.60457,1.4539,1.78545,0.00828443,0.00828443,0.00828443
43,5144.71,1.38296,1.91559,1.55356,0.92033,0.87356,0.93856,0.54254,1.49512,1.4096,1.7151,0.00820525,0.00820525,0.00820525
44,5257.62,1.3758,1.90583,1.54721,0.92169,0.88485,0.93764,0.54644,1.4755,1.40345,1.72051,0.00812468,0.00812468,0.00812468
45,5371.62,1.3728,1.90602,1.55062,0.91396,0.88232,0.93096,0.54304,1.48979,1.37131,1.72192,0.00804277,0.00804277,0.00804277
46,5485.38,1.36527,1.86676,1.53412,0.92713,0.89282,0.93857,0.55783,1.47054,1.3803,1.70427,0.00795954,0.00795954,0.00795954
47,5598.51,1.36255,1.85965,1.54097,0.9223,0.89325,0.9445,0.54108,1.50346,1.37606,1.72026,0.00787503,0.00787503,0.00787503
48,5711.93,1.3667,1.85737,1.53812,0.91004,0.886,0.92414,0.54493,1.46053,1.41685,1.69455,0.00778929,0.00778929,0.00778929
49,5825.64,1.35683,1.861,1.54013,0.90924,0.87919,0.93462,0.5505,1.45453,1.36822,1.70641,0.00770234,0.00770234,0.00770234
50,5940.92,1.35911,1.84308,1.53363,0.91158,0.8888,0.93678,0.5264,1.49676,1.3607,1.71177,0.00761423,0.00761423,0.00761423
51,6054.76,1.3526,1.79286,1.51313,0.91073,0.88194,0.93382,0.53355,1.49793,1.43938,1.70836,0.007525,0.007525,0.007525
52,6167.73,1.34295,1.79986,1.51437,0.92227,0.89144,0.934,0.54606,1.4586,1.37867,1.70154,0.00743468,0.00743468,0.00743468
53,6281.44,1.35227,1.80597,1.52111,0.92468,0.89986,0.93905,0.559,1.45023,1.39006,1.68377,0.00734332,0.00734332,0.00734332
54,6396.46,1.34416,1.78741,1.51381,0.93433,0.90189,0.94765,0.55666,1.47987,1.34768,1.70723,0.00725094,0.00725094,0.00725094
55,6509.78,1.34029,1.7822,1.51473,0.90486,0.89978,0.93532,0.55481,1.46484,1.37007,1.70365,0.00715761,0.00715761,0.00715761
56,6622.61,1.32907,1.76266,1.50881,0.91529,0.90345,0.93919,0.55327,1.44517,1.34432,1.65672,0.00706335,0.00706335,0.00706335
57,6736.79,1.32728,1.75193,1.50244,0.91492,0.89506,0.9385,0.54286,1.4626,1.37198,1.69107,0.0069682,0.0069682,0.0069682
58,6851.74,1.33092,1.76025,1.51362,0.92096,0.88302,0.93262,0.53975,1.51147,1.37891,1.7181,0.00687222,0.00687222,0.00687222
59,6966.72,1.32855,1.74538,1.50628,0.92964,0.89487,0.9304,0.54292,1.45346,1.38099,1.69676,0.00677543,0.00677543,0.00677543
60,7081.36,1.32306,1.73788,1.50944,0.9074,0.89436,0.94154,0.53883,1.48657,1.35992,1.69127,0.00667789,0.00667789,0.00667789
61,7195.83,1.32079,1.7124,1.49078,0.92219,0.90518,0.9481,0.54651,1.49082,1.32129,1.69299,0.00657963,0.00657963,0.00657963
62,7310.86,1.31935,1.71839,1.49137,0.91248,0.90715,0.93696,0.55397,1.46408,1.31952,1.69405,0.00648071,0.00648071,0.00648071
63,7425.21,1.31569,1.68965,1.49049,0.94298,0.89722,0.94434,0.54848,1.4989,1.31783,1.71802,0.00638115,0.00638115,0.00638115
64,7538.49,1.30734,1.70829,1.49068,0.93481,0.88633,0.93768,0.56596,1.44878,1.3313,1.68203,0.00628101,0.00628101,0.00628101
65,7651.45,1.31018,1.69859,1.49746,0.91409,0.90803,0.94464,0.55784,1.46926,1.31953,1.70466,0.00618034,0.00618034,0.00618034
66,7765.16,1.31206,1.70576,1.49772,0.93481,0.887,0.9397,0.5522,1.46576,1.32074,1.69712,0.00607916,0.00607916,0.00607916
67,7880.5,1.29642,1.66607,1.48401,0.93031,0.88976,0.94759,0.56033,1.46359,1.3259,1.69478,0.00597754,0.00597754,0.00597754
68,7994.99,1.29544,1.66013,1.48038,0.91504,0.88866,0.94256,0.56645,1.46388,1.30625,1.69807,0.00587551,0.00587551,0.00587551
69,8109.73,1.29512,1.6579,1.47858,0.92474,0.88227,0.93307,0.54979,1.47907,1.36214,1.6895,0.00577311,0.00577311,0.00577311
70,8224.62,1.29226,1.64801,1.46834,0.91195,0.89455,0.9436,0.55396,1.45796,1.34346,1.69475,0.0056704,0.0056704,0.0056704
